Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Liquid Death,https://www.crunchbase.com/organization/liquid-death-mountain-water,"Santa Monica, California, United States",Liquid Death is a non-alcoholic beverage brand that is focused on health and sustainability.,"Food and Beverage, Product Design, Wellness","20,007",,,8,,2024-03-11,67000000,USD,67000000,Venture - Series Unknown,67000000,USD,67000000,260600000,USD,260600000,Venture - Series Unknown,267600000,USD,267600000,"Josh Brolin, Jim Jefferies, Neal Brennan, Derrick Green, Live Nation Entertainment",2017-01-01,year,Active
Xiaoice,https://www.crunchbase.com/organization/xiaoice,"Beijing, Beijing, China",Bombax is an AI company that develops a chatbot that acts as a digital assistant with the capability to understand human conversations.,"Artificial Intelligence (AI), Chatbot, Human Computer Interaction, Machine Learning, Natural Language Processing, Virtual Assistant","20,040",,,2,Early Stage Venture,2022-11-07,1000000000,CNY,138316412,Series B,1000000000,CNY,138316412,1000000000,CNY,138316413,Series B,1000000000,CNY,138316413,"Hillhouse Investment, NetEase, 5Y Capital, Northern Light Venture Capital, IDG Capital",2014-01-01,year,Active
SemiDrive,https://www.crunchbase.com/organization/semidrive,"Nanjing, Jiangsu, China",SemiDrive is a Car smart driving chip developer,Semiconductor,"20,045",,,4,Early Stage Venture,2022-11-28,1000000000,CNY,138723191,Series B,1000000000,CNY,138723191,2500000000,CNY,366378487,Series B,2500000000,CNY,366378487,"Sequoia Capital China, Contemporary Amperex Technology, Vertex Ventures, Huatai Insurance Group, Matrix Partners China",2018-01-01,year,Active
Airwallex,https://www.crunchbase.com/organization/airwallex,"Melbourne, Victoria, Australia",Airwallex is the leading financial technology platform for modern businesses growing beyond borders,"Finance, Financial Services, FinTech, Payments","20,080",,,12,Late Stage Venture,2022-10-10,100000000,USD,100000000,Series E,100000000,USD,100000000,902000000,USD,902000000,Series E,902000000,USD,902000000,"Tencent, Sequoia Capital, Mastercard, Sequoia Capital China, Horizons Ventures",2015-12-01,month,Active
Snack Is Busy,https://www.crunchbase.com/organization/snack-is-busy,"Changsha, Jiangsu, China",Snack Is Busy is a food chain brand that delivers snacks to people using delivery trucks across the nation.,"Food and Beverage, Food Delivery, Restaurants","20,166",,,4,,2023-12-18,1050000000,CNY,147203140,Corporate Round,1050000000,CNY,147203140,198503672,USD,198503672,Corporate Round,198503672,USD,198503672,"Sequoia Capital China, Gaorong Capital, 5Y Capital, BA Capital, GenBridge Capital",2016-01-01,year,Active
Runway,https://www.crunchbase.com/organization/runwayml,"New York, New York, United States",Runway is an applied AI research company that builds the next generation of creativity tools.,"Apps, Artificial Intelligence (AI), Generative AI, Machine Learning, Software, Video Editing","20,171",,,6,Late Stage Venture,2023-06-29,141000000,USD,141000000,Series C,141000000,USD,141000000,236500000,USD,236500000,Series C,236500000,USD,236500000,"NVIDIA, Google, Madrona, Compound, Amjad Masad",2018-01-01,day,Active
1Password,https://www.crunchbase.com/organization/1password,"Toronto, Ontario, Canada","1Password operates as a password manager for documents, credit card information, and addresses.","Cyber Security, Network Security, Privacy, Software","20,248",,,3,Late Stage Venture,2022-01-19,620000000,USD,620000000,Series C,620000000,USD,620000000,920135000,USD,920135000,Series C,920135000,USD,920135000,"Lightspeed Venture Partners, ICONIQ Growth, Accel, Tiger Global Management, Salesforce Ventures",2005-07-12,day,Active
OYO,https://www.crunchbase.com/organization/oyo-rooms,"Gurgaon, Haryana, India",OYO is a global travel tech company that connects its patrons and guests.,"Hospitality, PropTech, Software, Travel, Travel Accommodations","20,417",,,19,Late Stage Venture,2024-03-12,2000000000,INR,24144280,Debt Financing,5000000,USD,5000000,3063032853,USD,3063032853,Series F,3326269789,USD,3326269789,"SoftBank, JP Morgan Chase, Microsoft, Airbnb, Didi",2012-02-21,day,Active
Cribl,https://www.crunchbase.com/organization/cribl,"San Francisco, California, United States","Cribl enables open observability and defies data gravity, giving customers radical levels of choice and control over their data.","Big Data, Information Technology, Real Time, Software","20,470",,,4,Late Stage Venture,2022-05-24,150000000,USD,150000000,Series D,150000000,USD,150000000,402208560,USD,402208560,Series D,402208560,USD,402208560,"Sequoia Capital, CrowdStrike, Citi Ventures, Tiger Global Management, IVP",2018-01-01,year,Active
Shield AI,https://www.crunchbase.com/organization/shield-ai,"San Diego, California, United States",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security","20,493",,,13,Late Stage Venture,2023-12-29,200000000,USD,200000000,Debt Financing,300000000,USD,300000000,778144999,USD,778144999,Series F,1073144999,USD,1073144999,"Hercules Capital, Point72 Ventures, Andreessen Horowitz, Breyer Capital, Bloomberg Beta",2015-05-28,day,Active
OneTrust,https://www.crunchbase.com/organization/onetrust,"Atlanta, Georgia, United States","OneTrust provides a platform that helps companies manage privacy, security, compliance, and governance requirements.","Compliance, Cyber Security, Data Governance, Information Technology, Risk Management, Software","20,544",,,7,Private Equity,2023-08-11,,,,Secondary Market,150000000,USD,150000000,1120000000,USD,1120000000,Private Equity,1120000000,USD,1120000000,"TCV, Franklin Templeton, Sands Capital Ventures, Insight Partners, Coatue",2016-01-01,year,Active
WHOOP,https://www.crunchbase.com/organization/whoop-inc,"Boston, Massachusetts, United States","WHOOP is a performance optimization system that tracks athlete recovery, training, and sleeping hours to help boost performance.","Analytics, Fitness, Sports, Wearables, Wellness","20,616",,,9,Late Stage Venture,2021-08-30,200000000,USD,200000000,Series F,200000000,USD,200000000,404000000,USD,404000000,Series F,404751000,USD,404751000,"Collaborative Fund, Infosys, Silicon Valley Bank, Promus Ventures, GP Bullhound",2012-01-01,year,Active
Hinge Health,https://www.crunchbase.com/organization/hinge-health,"San Francisco, California, United States","Hinge Health is a digital clinic for joint, and muscle care, pelvic pain, bowel, and bladder control.","Health Care, Medical, Therapeutics, Wearables","20,660",,,10,Late Stage Venture,2021-10-28,400000000,USD,400000000,Series E,400000000,USD,400000000,826132500,USD,826132500,Series E,826132500,USD,826132500,"TCV, IP Group, Lead Edge Capital, Bessemer Venture Partners, Insight Partners",2015-01-01,year,Active
Spring Health,https://www.crunchbase.com/organization/spring-care,"New York, New York, United States",Spring Health provides mental health solution for employers and health plans.,"Artificial Intelligence (AI), Health Care, Mental Health, mHealth, Wellness","20,758",,,6,,2023-04-12,71000000,USD,71000000,Venture - Series Unknown,71000000,USD,71000000,366500000,USD,366500000,Venture - Series Unknown,366500000,USD,366500000,"Work-Bench, Kinnevik, Tiger Global Management, SemperVirens Venture Capital, AlleyCorp",2016-01-01,year,Active
Polygon,https://www.crunchbase.com/organization/polygontechnology,"Yogyakarta, Yogyakarta, Indonesia",Polygon is a platform for Ethereum scaling and infrastructure development.,"Blockchain, Ethereum, Information Technology, Infrastructure, Web3","20,796",,,9,,2023-06-05,,,,Secondary Market,450000000,USD,450000000,451450000,USD,451450000,Initial Coin Offering,451450000,USD,451450000,"Voodoo, Animoca Brands, Galaxy Digital, Digital Currency Group, Scopely",2017-01-01,year,Active
Sentry,https://www.crunchbase.com/organization/sentry,"San Francisco, California, United States",Sentry is a developer of an application monitoring platform that helps developers optimize the performance of their code.,"Application Performance Management, Developer Tools, Real Time, Web Apps","20,840",,,6,Late Stage Venture,2022-05-04,90000000,USD,90000000,Series E,90000000,USD,90000000,217000000,USD,217000000,Series E,217000000,USD,217000000,"Slack, Bond, Accel, New Enterprise Associates, K5 Global",2012-02-01,day,Active
Mafengwo,https://www.crunchbase.com/organization/mafengwo,"Beijing, Beijing, China",Mafengwo is a Chinese travel SNS website that enables users to share travel experiences with each other.,"Internet, Public Transportation, Transportation, Travel","20,900",,,6,,2023-02-15,,,,Venture - Series Unknown,,,,503000000,USD,503000000,Venture - Series Unknown,503000000,USD,503000000,"Tencent, Qiming Venture Partners, Coatue, General Atlantic, Hillhouse Investment",2010-01-01,year,Active
Ola,https://www.crunchbase.com/organization/ola,"Kormangala, Karnataka, India",Ola is a mobility platform and ride-hailing company that integrates city transportation for customers and driver partners.,"Apps, Mobile, Ride Sharing, Transportation","20,908",,,30,Late Stage Venture,2022-02-22,1500000000,INR,20100098,Series J,1500000000,INR,20100098,4085962585,USD,4085962585,Series J,4966943275,USD,4966943275,"SoftBank, Didi, Tencent, Vanguard, IIFL Finance",2010-12-03,day,Active
Bolt,https://www.crunchbase.com/organization/mtakso,"Tallinn, Harjumaa, Estonia","Bolt is a mobility app that provides rides, food delivery, scooters, and car-sharing services.","Car Sharing, Food Delivery, InsurTech, Mobile Apps, Ride Sharing, Transportation","20,916",,,18,Private Equity,2023-10-18,,,,Private Equity,,,,1853618731,USD,1853618731,Private Equity,2043839702,USD,2043839702,"Fidelity, Didi, Startup Wise Guys, Mercedes-Benz Group AG, Arrowshare Ventures",2013-08-01,day,Active
Replit,https://www.crunchbase.com/organization/replit,"San Francisco, California, United States",Replit is a browser-based integrated development environment for cross-platform collaborative coding.,"Artificial Intelligence (AI), Cloud Computing, Developer Tools, Information Technology, Software","20,918",,,9,,2023-11-06,20000000,USD,20000000,Venture - Series Unknown,20000000,USD,20000000,222020000,USD,222020000,Venture - Series Unknown,222020000,USD,222020000,"Andreessen Horowitz, Y Combinator, Reach Capital, Khosla Ventures, Bloomberg Beta",2016-01-01,year,Active
Arcadia,https://www.crunchbase.com/organization/arcadia-power-2,"Washington, District of Columbia, United States",Arcadia is a climate software and data company that specializes in decarbonizing the electric grid.,"Clean Energy, CleanTech, Database, Renewable Energy, Software","20,921",,,16,,2024-04-11,50000000,USD,50000000,Venture - Series Unknown,50000000,USD,50000000,540000000,USD,540000000,Venture - Series Unknown,575500000,USD,575500000,"JP Morgan Chase, Alumni Ventures, Bracket Capital, Wellington Management, TriplePoint Capital",2014-01-01,year,Active
Bluepha,https://www.crunchbase.com/organization/bluepha,"Beijing, Beijing, China",Bluepha is a biomanufacturing and material innovation company providing breakthrough products with competitive differentiation.,"Biotechnology, Industrial Manufacturing, Manufacturing","20,936",,,7,Early Stage Venture,2023-02-14,400000000,CNY,58591747,Series B,400000000,CNY,58591747,1975000000,CNY,302859449,Series B,1975000000,CNY,302859449,"Tencent, Hillhouse Investment, Lightspeed China Partners, Frees Fund, Qianhai Fund of Funds",2016-10-28,day,Active
Dataiku,https://www.crunchbase.com/organization/dataiku,"Paris, Ile-de-France, France",Dataiku operates as an enterprise artificial intelligence and machine-learning platform.,"Analytics, Artificial Intelligence (AI), Big Data, Data Integration, Enterprise Software","21,145",,,11,Late Stage Venture,2022-12-12,200000000,USD,200000000,Series F,200000000,USD,200000000,846835229,USD,846835229,Series F,846835229,USD,846835229,"ICONIQ Capital, Eurazeo, AGORANOV, ICONIQ Growth, Wellington Management",2013-01-01,year,Active
Aptos,https://www.crunchbase.com/organization/aptos-96b4,"Palo Alto, California, United States",Aptos is a Web3 startup that builds a scalable layer 1 blockchain.,"Blockchain, FinTech, Information Technology, Non-Fungible Token (NFT), Web3","21,152",,,3,,2022-09-15,,,,Venture - Series Unknown,,,,350000000,USD,350000000,Venture - Series Unknown,350000000,USD,350000000,"Hashed, BlockTower Capital, Andreessen Horowitz, Apollo, Franklin Templeton",2021-01-01,year,Active
Via,https://www.crunchbase.com/organization/via-transportation,"New York, New York, United States","Via is a transport company that offers public mobility solutions for transit agencies, school districts, cities, and corporations.","Logistics, Mobile Apps, Real Time, Ride Sharing, Transportation","21,156",,,9,,2023-02-13,110000000,USD,110000000,Venture - Series Unknown,110000000,USD,110000000,887064111,USD,887064111,Venture - Series Unknown,887064111,USD,887064111,"Mercedes-Benz Group AG, EXOR N.V., BlackRock, Janus Henderson Investors, Kapor Capital",2012-06-26,day,Active
Didi Freight,https://www.crunchbase.com/organization/didi-freight,"Beijing, Beijing, China",Didi Freight provides an Uber-like trucking service.,"Freight Service, Logistics, Transportation","21,159",,,1,Early Stage Venture,2021-01-14,1500000000,USD,1500000000,Series A,1500000000,USD,1500000000,1500000000,USD,1500000000,Series A,1500000000,USD,1500000000,"Didi, Temasek Holdings, IDG Capital, YF Capital, VMS Asset Management",2020-06-23,day,Active
Mews,https://www.crunchbase.com/organization/mews-systems,"Prague, Hlavni mesto Praha, Czech Republic",Mews is a cloud-based hotel property management system that helps simplify hotel operations so properties can focus on their guests.,"Enterprise Software, Hospitality, Hotel, Property Management, Travel","21,163",,,7,Late Stage Venture,2024-03-04,101390000,EUR,110050298,Series D,101390000,EUR,110050298,342281931,USD,342281931,Series D,342281931,USD,342281931,"Goldman Sachs, Notion Capital, Kinnevik, Thayer Ventures, Salesforce Ventures",2012-01-01,year,Active
CALB,https://www.crunchbase.com/organization/calb,"Changzhou, Zhejiang, China",CALB is a technology enterprise that specializes in the production of lithium batteries and battery materials.,"Battery, Energy, Energy Storage","21,174",,,3,,2021-09-13,12000000000,CNY,1859946061,Venture - Series Unknown,12000000000,CNY,1859946061,12000000000,CNY,1859946062,Venture - Series Unknown,12000000000,CNY,1859946062,"Sequoia Capital China, GAC Capital, Yangtze River Xiaomi Industry Fund, Jinyuan Group, Jintan Investment",2007-01-01,year,Active
Zip,https://www.crunchbase.com/organization/zip-f492,"San Francisco, California, United States",Zip is an Intake-to-Pay platform for any employee to initiate a purchase or vendor request.,"Compliance, Enterprise Resource Planning (ERP), Finance, Information Technology, Procurement, Software","21,235",,,5,Late Stage Venture,2023-05-15,100000000,USD,100000000,Series C,100000000,USD,100000000,181325000,USD,181325000,Series C,181325000,USD,181325000,"Y Combinator, Tiger Global Management, TwentyTwo VC, Y Combinator Continuity Fund, CRV",2020-01-01,year,Active
KKW Beauty,https://www.crunchbase.com/organization/kkw-beauty,"Woodland Hills, California, United States",KKW Beauty is a Kim Kardashian West’s makeup brand.,"Beauty, Cosmetics, Fashion","21,243",,,1,,2020-06-29,200000000,USD,200000000,Corporate Round,200000000,USD,200000000,200000000,USD,200000000,Corporate Round,200000000,USD,200000000,Coty,2017-06-01,month,Active
Lyra Health,https://www.crunchbase.com/organization/lyra-health,"Burlingame, California, United States",Lyra helps companies improve access to effective mental health care for their employees.,"Employee Benefits, Health Care, Information Services, Information Technology, Mental Health","21,263",,,8,Late Stage Venture,2022-01-19,235000000,USD,235000000,Series F,235000000,USD,235000000,910100000,USD,910100000,Series F,910100000,USD,910100000,"Fidelity, Sands Capital Ventures, Castlight Health, Emerson Collective, Venrock",2015-01-01,month,Active
DXY,https://www.crunchbase.com/organization/dxy,"Hangzhou, Zhejiang, China","DXY is an online healthcare community for doctors, consumers, and healthcare organizations.","Consumer Software, Health Care, InsurTech, Life Science, Medical, mHealth, Pharmaceutical, Software","21,264",,,5,Late Stage Venture,2020-12-29,500000000,USD,500000000,Series E,500000000,USD,500000000,682000000,USD,682000000,Series E,682000000,USD,682000000,"Tencent, DCM Ventures, Shunwei Capital, Legend Capital, Trustbridge Partners",2000-07-23,day,Active
Beisen,https://www.crunchbase.com/organization/beisen,"Beijing, Beijing, China",Beisen provides talent management and measurement solutions.,"Consulting, Recruiting","21,301",,,5,Late Stage Venture,2021-05-11,260000000,USD,260000000,Series F,260000000,USD,260000000,388000000,USD,388000000,Series F,388000000,USD,388000000,"Sequoia Capital China, Goldman Sachs, Matrix Partners China, Fidelity International, Primavera Capital Group",2002-01-01,year,Active
Ada,https://www.crunchbase.com/organization/ada-support,"Toronto, Ontario, Canada",Ada is an automated customer experience company that provides chat bots used in customer support.,"Artificial Intelligence (AI), Chatbot, Intelligent Systems, Machine Learning, SaaS, Software","21,346",,,7,Late Stage Venture,2021-05-07,130000000,USD,130000000,Series C,130000000,USD,130000000,190620620,USD,190620620,Series C,190620620,USD,190620620,"Creative Destruction Lab (CDL), NEXT Canada, Giant Ventures, Accel, Bessemer Venture Partners",2016-01-01,year,Active
Alloy,https://www.crunchbase.com/organization/alloy-2,"New York, New York, United States",Alloy is a developer of an identity verification platform used to detect fraud and make identity management effective and simple for banks.,"Compliance, FinTech, Fraud Detection, Identity Management, SaaS","21,388",,,8,Late Stage Venture,2022-09-01,52000000,USD,52000000,Series C,52000000,USD,52000000,207800000,USD,207800000,Series C,207800000,USD,207800000,"Techstars, Lightspeed Venture Partners, Eniac Ventures, Correlation Ventures, Clocktower Technology Ventures",2002-01-01,year,Active
Tabby,https://www.crunchbase.com/organization/tabby,"Riyadh, Ar Riyad, Saudi Arabia",Tabby is a payments and shopping app that enables customers to make purchases and pay for them in installments.,"Billing, Finance, Financial Services, FinTech, Payments","21,517",,,13,Late Stage Venture,2023-12-21,700000000,USD,700000000,Debt Financing,50000000,USD,50000000,494000000,USD,494000000,Series D,1744000000,USD,1744000000,"Delivery Hero, Global Ventures, CoVenture, Mubadala, Wellington Management",2019-01-01,year,Active
Ro,https://www.crunchbase.com/organization/roman-2,"New York, New York, United States","Ro is a telehealth startup that operates digital health clinics for men’s and women’s health, along with smoking cessation.","Health Care, Health Diagnostics, Hospital, mHealth, Telehealth, Wellness","21,529",,,8,,2022-02-15,150000000,USD,150000000,Venture - Series Unknown,150000000,USD,150000000,1026100000,USD,1026100000,Venture - Series Unknown,1026100000,USD,1026100000,"Gaingels, General Catalyst, SignalFire, Dragoneer Investment Group, TCG",2017-01-01,year,Active
Gokin Solar,https://www.crunchbase.com/organization/guangdong-gaojing-solar-energy-technology,"Zhuhai, Guangdong, China",Gokin Solar focuses on the R&D and manufacturing of high-efficiency large-size photovoltaic silicon wafers.,"Energy, Manufacturing, Renewable Energy, Solar","21,572",,,4,Private Equity,2023-05-12,25500000,CNY,3664740,Private Equity,25500000,CNY,3664740,4140500000,CNY,619913712,Private Equity,4140500000,CNY,619913712,"CICC, Walden International, GF Xinde Investment Management, IDG Capital, Shenzhen Investment Holdings",2019-07-01,month,Active
CLEAN PLANET,https://www.crunchbase.com/organization/clean-planet,"Tokyo, Tokyo, Japan",Clean Planet is a new source of clean energy.,"CleanTech, Energy, Environmental Consulting, Renewable Energy","21,573",,,2,,2019-06-03,495000000,JPY,4581742,Corporate Round,495000000,JPY,4581742,996200000,JPY,9168919,Corporate Round,996200000,JPY,9168919,"Mitsubishi Estate, Miura Co.,Ltd.",2012-09-01,day,Active
Hive,https://www.crunchbase.com/organization/hive-dc0c,"San Francisco, California, United States","Hive provides cloud-based AI solutions for understanding, searching, and generating content","Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Generative AI, Machine Learning, Software, Speech Recognition","21,606",,,6,Late Stage Venture,2021-12-03,,,,Secondary Market,50000000,USD,50000000,120700000,USD,120700000,Series D,120700000,USD,120700000,"General Catalyst, Founders Fund, Eniac Ventures, Bracket Capital, Bain & Company",2013-01-01,year,Active
Dialpad,https://www.crunchbase.com/organization/dialpad,"San Francisco, California, United States",Dialpad is an AI-powered cloud communications platform that turns conversations into opportunities and helps teams make smart calls.,"Analytics, Artificial Intelligence (AI), Machine Learning, Messaging, Natural Language Processing, Predictive Analytics, SaaS, Telecommunications, Unified Communications, VoIP","21,629",,,9,Late Stage Venture,2022-12-22,50000000,USD,50000000,Series F,50000000,USD,50000000,450000000,USD,450000000,Series F,450000000,USD,450000000,"SoftBank, ICONIQ Capital, Andreessen Horowitz, Google Ventures, ICONIQ Growth",2011-04-01,month,Active
Redis,https://www.crunchbase.com/organization/redis,"Mountain View, California, United States",Redis is the sponsor of the open source database and delivers an enterprise-grade data platform to power real-time experiences.,"Analytics, Big Data, Cloud Data Services, Database, Information Technology, Open Source, SaaS, Software","21,645",,,10,Late Stage Venture,2021-12-16,1200000,USD,1200000,Secondary Market,110000000,USD,110000000,355600000,USD,355600000,Series G,356800000,USD,356800000,"TCV, Bain Capital Ventures, Silicon Valley Bank, Viola Ventures, Tiger Global Management",2011-01-01,year,Active
Youxia Motors,https://www.crunchbase.com/organization/youxiamotors,"Minhang, Shanghai, China",Youxia Motors designs and manufactures electric vehicles.,"Automotive, Electric Vehicle, Industrial Design, Manufacturing","21,646",,,4,Early Stage Venture,2018-08-22,350000000,USD,350000000,Series B,350000000,USD,350000000,1334520263,USD,1334520263,Series B,1334520263,USD,1334520263,"Gezhi Asset Management, Qianhai Wutong Mergers and Acquisitions Funds, China Fortune Ocean, Huzhou Wuxing South Taihu Lake Construction Investment Co., China Environmental Protection Industry Co.",2014-01-01,year,Active
Nium,https://www.crunchbase.com/organization/nium,"Singapore, Central Region, Singapore",Nium is a payment infrastructure that specializes in payments and card-issuing services.,"Finance, Financial Services, FinTech, Payments","21,670",,,10,Late Stage Venture,2022-03-21,5000000,USD,5000000,Series D,5000000,USD,5000000,287960000,USD,287960000,Series D,287960000,USD,287960000,"Ripple, Rocket Internet, Visa, Arjun Sethi, Emtek Group",2015-01-01,year,Active
HiBob,https://www.crunchbase.com/organization/hibob,"Tel Aviv, Tel Aviv, Israel","HiBob is a platform that offers HR and benefits solutions including benefits administration, payroll, and employee engagement.","Human Resources, Information Technology, SaaS, Software","21,702",,,9,Late Stage Venture,2023-09-19,150000000,USD,150000000,Series D,150000000,USD,150000000,574000000,USD,574000000,Series D,574000000,USD,574000000,"Entrée Capital, Eight Roads Ventures, Alpha Wave Global, SEEK, Bessemer Venture Partners",2015-01-01,year,Active
DMALL,https://www.crunchbase.com/organization/dmall,"Haidian, Beijing, China","Dmall is Asia's leading retail cloud solution provider, providing a cloud-based, end-to-end SaaS platform for the local retail industry.","E-Commerce, Food Delivery, Point of Sale, Retail, SaaS, Software, Supply Chain Management, Warehousing","21,718",,,4,Late Stage Venture,2020-10-31,2800000000,CNY,418460066,Series C,2800000000,CNY,418460066,527820305,USD,527820305,Series C,527820305,USD,527820305,"Tencent, Lenovo Capital and Incubator Group (LCIG), IDG Capital, Shenzhen Investment Holdings, Tianya.cn",2015-04-01,day,Active
Nuro,https://www.crunchbase.com/organization/nuro-2,"Mountain View, California, United States",Nuro develops and operates a fleet of electric and autonomous vehicles.,"Artificial Intelligence (AI), Autonomous Vehicles, Robotics, Transportation","21,724",,,7,Late Stage Venture,2024-02-21,,,,Non-equity Assistance,600000000,USD,600000000,2132148855,USD,2132148855,Series D,2132148855,USD,2132148855,"Fidelity, Google, Kroger, T. Rowe Price, Disney Accelerator",2016-01-01,year,Active
Flip,https://www.crunchbase.com/organization/flip-fit,"Los Angeles, California, United States",Flip is a next-gen social & live commerce platform by combining a TikTok-like discovery experience with a premium e-commerce service.,"Beauty, E-Commerce, Retail, Shopping, Social Media","21,753",,,5,Late Stage Venture,2024-04-02,144000000,USD,144000000,Series C,144000000,USD,144000000,238750000,USD,238750000,Series C,238750000,USD,238750000,"AppLovin, Human Capital, BDMI, TLV Partners, Mubadala Capital Ventures",2019-08-01,month,Active
Fever,https://www.crunchbase.com/organization/fever,"New City, New York, United States",Fever is a live-entertainment discovery tech platform aiming to make culture and entertainment more accessible.,"Digital Media, Media and Entertainment, Ticketing","21,772",,,7,,2023-01-25,110000000,USD,110000000,Venture - Series Unknown,110000000,USD,110000000,408800000,USD,408800000,Venture - Series Unknown,408800000,USD,408800000,"Fidelity, Eurazeo, Goldman Sachs, Rakuten, Eight Roads Ventures",2014-01-01,year,Active
Chargebee,https://www.crunchbase.com/organization/chargebee,"San Francisco, California, United States",Chargebee is the leading revenue growth management platform for subscription businesses.,"Accounting, Billing, E-Commerce, Financial Services, FinTech, Payments, SaaS, Subscription Service","21,779",,,8,Late Stage Venture,2022-02-01,250000000,USD,250000000,Series H,250000000,USD,250000000,468170000,USD,468170000,Series H,468170000,USD,468170000,"Sapphire Ventures, Accel, Insight Partners, Steadview Capital, Tiger Global Management",2011-06-15,day,Active
YH Global,https://www.crunchbase.com/organization/yh-global,"Shenzhen, Guangdong, China","YH Global provides transport distribution, international freight forwarding, and commerce logistics services.","Automotive, Freight Service, Logistics, Supply Chain Management, Transportation","21,781",,,1,Early Stage Venture,2017-09-22,182000000,USD,182000000,Series A,182000000,USD,182000000,182000000,USD,182000000,Series A,182000000,USD,182000000,"Yonghua Capital, Stone Capital, HNF, Grandland Group, Tangrong Capital",1997-01-01,year,Active
Algolia,https://www.crunchbase.com/organization/algolia,"San Francisco, California, United States",Algolia is the Search-as-a-Service platform that enables companies to deliver fast and relevant digital experiences that drive real results.,"Cloud Computing, Search Engine, Semantic Search, Vertical Search","21,800",,,8,Late Stage Venture,2021-07-28,150000000,USD,150000000,Series D,150000000,USD,150000000,334220000,USD,334220000,Series D,334220000,USD,334220000,"Fidelity, Y Combinator, 500 Global, Twilio, The Family",2012-01-01,year,Active
Multiverse,https://www.crunchbase.com/organization/whitehat,"London, England, United Kingdom",Multiverse is a tech startup that matches talent who have not graduated from college with apprenticeship opportunities.,"Career Planning, Corporate Training, EdTech, Training","21,821",,,6,,2024-03-22,4267206,USD,4267206,Venture - Series Unknown,4267206,USD,4267206,418267206,USD,418267206,Venture - Series Unknown,418267206,USD,418267206,"23andMe, General Catalyst, Lightspeed Venture Partners, Google Ventures, Haystack",2016-01-01,year,Active
Uniswap,https://www.crunchbase.com/organization/uniswap-labs,"Brooklyn, New York, United States",Uniswap is a decentralized exchange platform that operates on the Ethereum blockchain.,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Ethereum, Financial Services, FinTech, Web3","21,848",,,2,Early Stage Venture,2022-10-13,165000000,USD,165000000,Series B,165000000,USD,165000000,176000000,USD,176000000,Series B,176000000,USD,176000000,"Andreessen Horowitz, Polychain, Union Square Ventures, ParaFi Capital, Variant",2018-11-02,day,Active
inDrive,https://www.crunchbase.com/organization/indriver,"Mountain View, California, United States","InDrive is a platform dedicated to mobility and urban services, providing options for ride-hailing and various transportation services.","Apps, Mobile Apps, Ride Sharing, Transportation","21,944",,,6,Late Stage Venture,2024-03-14,150000000,USD,150000000,Debt Financing,150000000,USD,150000000,237000000,USD,237000000,Series C,537000000,USD,537000000,"General Catalyst, Bond, Insight Partners, LETA Capital, Azuro Capital",2012-01-01,year,Active
Personio,https://www.crunchbase.com/organization/personio,"München, Bayern, Germany",Personio is the all-in-one HR software that upgrades your people operations for now and the future,"Employment, Human Resources, Information Technology, Recruiting, SaaS, Software","21,955",,,7,Late Stage Venture,2022-06-22,200000000,USD,200000000,Series E,200000000,USD,200000000,724332945,USD,724332945,Series E,724332945,USD,724332945,"Lightspeed Venture Partners, La Famiglia, Accel, Meritech Capital Partners, Index Ventures",2015-01-01,year,Active
AI21 Labs,https://www.crunchbase.com/organization/ai21,"Tel Aviv, Tel Aviv, Israel",AI21 Labs specializes in developing AI systems with an unprecedented capacity to understand and generate natural language.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software","22,003",,,8,Late Stage Venture,2023-11-21,53000000,USD,53000000,Series C,53000000,USD,53000000,326500000,USD,326500000,Series C,326500000,USD,326500000,"NVIDIA, Google, Google for Startups, b2venture (formerly btov Partners), Comcast Ventures",2017-11-01,month,Active
Rappi,https://www.crunchbase.com/organization/rappi,"Bogotá, Distrito Especial, Colombia",Rappi is a consumer tech company that specializes in providing online delivery services.,"Consumer Goods, Delivery, E-Commerce, Food and Beverage, Food Delivery, Mobile Apps, Web Development","22,014",,,18,Late Stage Venture,2022-09-30,,,,Secondary Market,,,,2192005447,USD,2192005447,Series F,2342905447,USD,2342905447,"SoftBank, Delivery Hero, Soma Capital, Andreessen Horowitz, Sequoia Capital",2015-01-01,year,Active
