Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
LeCloud,https://www.crunchbase.com/organization/letv-2,"Beijing, Beijing, China",LeCloud provides professional and leading video cloud services.,"Cloud Computing, Enterprise Software, Software","41,180",,,1,Early Stage Venture,2016-03-04,1000000000,CNY,153388113,Series A,1000000000,CNY,153388113,1000000000,CNY,153388113,Series A,1000000000,CNY,153388113,Chongqing Industry Investment Fund,2004-01-01,year,Active
JLSemi,https://www.crunchbase.com/organization/jlsemi,"Shanghai, Shanghai, China","JLSemi is a manufacturing company that specializes and excels in high-speed Analog, advanced DSP, and mixed-signal designs.","Application Specific Integrated Circuit (ASIC), Manufacturing, Semiconductor","41,182",,,6,Late Stage Venture,2022-07-08,90000000,USD,90000000,Series C,90000000,USD,90000000,90000000,USD,90000000,Series C,90000000,USD,90000000,"Matrix Partners China, CDH Investments, GP Capital, Summitview Capital, Hengxu Capital",2009-01-01,year,Active
Binance,https://www.crunchbase.com/organization/binance,"Valletta, NA - Malta, Malta",Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Bitcoin, Cryptocurrency, FinTech, Stock Exchanges, Web3","41,278",,,5,,2018-10-23,,,,Venture - Series Unknown,,,,10000000,ALL,88771,Venture - Series Unknown,10000000,ALL,88771,"ICONIUM, Black Hole Capital, Fundamental Labs, Vertex Ventures Southeast Asia & India, Limitless Crypto Investments",2017-01-01,year,Active
Tenglong Holding Group,https://www.crunchbase.com/organization/tenglong-holding-group,"Beijing, Beijing, China",Tenglong Holding Group provides global distributed data center (IDC) in-depth customization services.,"Data Center, Data Storage","41,295",,,1,Early Stage Venture,2019-12-02,3700000000,USD,3700000000,Series A,3700000000,USD,3700000000,3700000000,USD,3700000000,Series A,3700000000,USD,3700000000,"Morgan Stanley Venture Partners, Huaneng Invesco WLR Investment Consulting, Nanshan Capital, Haitong Hengxin International Leasing",2015-01-01,day,Active
1KMXC,https://www.crunchbase.com/organization/1kmxc,"Hangzhou, Zhejiang, China",1KMXC is a high-tech research and development company for artificial intelligence robot solutions.,"Artificial Intelligence (AI), Machine Learning, Robotics, Service Industry","41,341",,,7,Late Stage Venture,2021-09-01,,,,Series D,,,,86147128,USD,86147128,Series D,86147128,USD,86147128,"Alibaba Group, Goldman Sachs Asset Management, Centurium Capital, Picc Group, Regent Capital",2013-01-01,year,Active
Xpansiv,https://www.crunchbase.com/organization/xpansiv,"San Francisco, California, United States",Xpansiv ingests data sourced from the commodity lifecycle and converts it into intelligent commodities and digital assets.,"Information Technology, IT Infrastructure, Trading Platform","41,441",2019-06-24,day,8,M&A,2023-01-11,125000000,USD,125000000,Private Equity,125000000,USD,125000000,278456000,USD,278456000,Private Equity,678456000,USD,678456000,"Bank of America, S&P Global, Commonwealth Bank of Australia, Goldman Sachs, Macquarie Group",2016-01-01,year,Active
Daily Harvest,https://www.crunchbase.com/organization/daily-harvest,"New York, New York, United States",Daily Harvest is a customer-first platform that provides subscription-based food delivery services to offer healthy frozen foods.,"E-Commerce, Food and Beverage, Food Delivery, Organic Food, Subscription Service","41,702",,,6,Late Stage Venture,2021-11-15,77000000,USD,77000000,Series D,77000000,USD,77000000,120000000,USD,120000000,Series D,120000000,USD,120000000,"Collaborative Fund, Lightspeed Venture Partners, M13, BAM Ventures, Imaginary Ventures",2015-01-01,day,Active
1mg,https://www.crunchbase.com/organization/healthkart-plus,"Gurgaon, Haryana, India",1mg is an online pharmacy network platform and generic medicine engine.,"Delivery, E-Commerce, Health Care, Medical, Pharmaceutical","41,717",2021-06-10,day,16,M&A,2022-09-06,40000000,USD,40000000,Venture - Series Unknown,40000000,USD,40000000,199550209,USD,199550209,Venture - Series Unknown,230800209,USD,230800209,"Sequoia Capital, Bill & Melinda Gates Foundation, International Finance Corporation, Omidyar Network, Tata Digital",2015-02-03,day,Active
Sineva,https://www.crunchbase.com/organization/sineva,"Hefei, Anhui, China","Sineva engages in R&D, manufacturing and sales of transfer robots, test robots, service robots and intelligent factory solutions.","Manufacturing, Robotics, Sales","41,722",2018-09-27,day,5,M&A,2023-06-12,500000000,CNY,69973130,Series D,500000000,CNY,69973130,1700000000,CNY,252898175,Series D,1700000000,CNY,252898175,"CICC, Cowin Capital, Walden International, Hefei Industry Investment Group, BOE Technology Group",2013-07-31,day,Active
Zihaiguo,https://www.crunchbase.com/organization/zihaiguo,"Banan, Chongqing, China",Zihaiguo is a developer and retailer of self-heating hot pots.,"Food and Beverage, Food Processing","41,734",,,5,Late Stage Venture,2021-05-06,100000000,CNY,15469818,Series C,100000000,CNY,15469818,79556309,USD,79556309,Series C,79556309,USD,79556309,"CICC, Meridian Capital Asia, Matrix Partners China, Shenzhen Qianhai Xingwang Investment, Beijing Taikang Investment",2017-08-24,day,Active
